AtcoCode,Direction,PlateCode,Latitude,Longitude,StopLoadDay,RoutesPassingThrough,RoutesPassingThroughCount,OperatorsPassingThrough,OperatorsPassingThroughCount,ShortCommonName_en,ShortCommonName_ga,isRTPI,HasPole,HasShelter,CarouselType,FlagData,StopAccessibility,WheelchairAccessibility
8220DB000523,0,523,53.36428545,-6.231693332,691," 130, 27a, 27b, 27x, 42, 43, 6, h1, h2, h3",10, Dublin Bus,1,Marino College,Coláiste Marino,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000522,1,522,53.36328895,-6.235415975,691," 14, 15, 27, 32x",4, Dublin Bus,1,Fairview,Fionnradharc,1,Pole,No Shelter,Short Carousel,"Lolly Pop,Stretched",1,0
8220DB000522,0,522,53.36328895,-6.235415975,691," 130, 27a, 27b, 42, 43, 6, h1, h2, h3",9, Dublin Bus,1,Fairview,Fionnradharc,1,Pole,No Shelter,Short Carousel,"Lolly Pop,Stretched",1,0
8220DB000519,1,519,53.36033876,-6.239534529,690," 14, 15, 27",3, Dublin Bus,1,Nth Strand Fire Stn,Stáisiún Dóiteáin,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000519,0,519,53.36033876,-6.239534529,690," 130, 27a, 27b, 42, 43, 6, h1, h2, h3",9, Dublin Bus,1,Nth Strand Fire Stn,Stáisiún Dóiteáin,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000521,1,521,53.36163705,-6.237978461,689," 14, 15, 27",3, Dublin Bus,1,Annesley Bridge,Droichead Annesley,1,Pole,No Shelter,Short Carousel,"Lolly Pop,Stretched",1,1
8220DB000521,0,521,53.36163705,-6.237978461,689," 130, 27a, 27b, 42, 43, 6, h1, h2, h3",9, Dublin Bus,1,Annesley Bridge,Droichead Annesley,1,Pole,No Shelter,Short Carousel,"Lolly Pop,Stretched",1,1
8220DB000786,1,786,53.33514671,-6.256174036,680," 11, 116, 118, 145, 155, 46a, 46e, 533, 7b, 7d, 824, 845, 904, 910",14," Dublin Bus, Kearns Transport, Matthews Coach Hire, PJ Martley, Swords Express",5,Embassy of Malta,Ambasáid Mhálta,1,Pole,No Shelter,Short Carousel,Stretched,1,1
8220DB000786,0,786,53.33514671,-6.256174036,680," 181, 25x, 37, 38, 38a, 38b, 38d, 39, 39a, 39x, 66x, 67x, 70, 700",14," Aircoach, Dublin Bus, St.Kevin's Bus Service",3,Embassy of Malta,Ambasáid Mhálta,1,Pole,No Shelter,Short Carousel,Stretched,1,1
8220DB000052,1,52,53.35666078,-6.264565282,654," 33, 40b, 40d, 41, 41b, 41c, 41d",7, Dublin Bus,1,Dorset Street Upper,Sráid Dorset Uacht,1,No Pole,Shelter,Shelter Panel,Circular,1,1
